keyword,source_category,observed_intent,market,modifier_type,root_topic,canonical_keyword,canonical_page_slug,keep_status,merge_reason,notes,semrush_volume,semrush_kd,semrush_cpc,semrush_last_checked
identity management platform,Platform,informational,IN+GLOBAL,none,smart_identity_platform,smart identity platform,/,keep_secondary,platform family consolidation,,,,,
digital identity platform,Platform,informational,IN+GLOBAL,none,smart_identity_platform,smart identity platform,/,keep_secondary,platform family consolidation,,,,,
smart identity platform,Platform,informational,IN+GLOBAL,none,smart_identity_platform,smart identity platform,/,keep_primary,platform family consolidation,,,,,
personal identity management system,Platform,informational,IN+GLOBAL,none,smart_identity_platform,smart identity platform,/,keep_secondary,platform family consolidation,,,,,
business identity management platform,Platform,informational,IN+GLOBAL,none,business_identity_management_platform,business identity management platform,/business-identity,keep_primary,business identity platform variation,,,,,
digital profile management system,Platform,informational,IN+GLOBAL,none,smart_identity_platform,smart identity platform,/,keep_secondary,platform family consolidation,,,,,
online identity profile platform,Platform,informational,IN+GLOBAL,online,smart_identity_platform,smart identity platform,/,keep_secondary,platform family consolidation,,,,,
professional identity platform,Platform,informational,IN+GLOBAL,none,business_identity_management_platform,business identity management platform,/business-identity,keep_secondary,business identity platform variation,,,,,
digital identity card system,Platform,informational,IN+GLOBAL,none,smart_identity_platform,smart identity platform,/,keep_secondary,platform family consolidation,,,,,
personal branding platform India,Platform,informational,IN,country,creator_identity_platform,personal branding platform india,/creator-identity,keep_primary,creator-hub family seed,,,,,
digital profile builder,Platform,informational,IN+GLOBAL,none,smart_identity_platform,smart identity platform,/,keep_secondary,platform family consolidation,,,,,
smart profile platform,Platform,informational,IN+GLOBAL,none,smart_identity_platform,smart identity platform,/,keep_secondary,platform family consolidation,,,,,
identity platform for businesses,Platform,informational,IN+GLOBAL,none,business_identity_management_platform,business identity management platform,/business-identity,keep_secondary,business identity platform variation,,,,,
unified identity platform,Platform,informational,IN+GLOBAL,none,smart_identity_platform,smart identity platform,/,keep_secondary,platform family consolidation,,,,,
online identity system,Platform,informational,IN+GLOBAL,online,smart_identity_platform,smart identity platform,/,keep_secondary,platform family consolidation,,,,,
digital profile system India,Platform,informational,IN,country,smart_identity_platform,smart identity platform,/,keep_secondary,platform family consolidation,,,,,
identity platform India,Platform,informational,IN,country,smart_identity_platform,smart identity platform,/,keep_secondary,platform family consolidation,,,,,
profile management platform,Platform,informational,IN+GLOBAL,none,smart_identity_platform,smart identity platform,/,keep_secondary,platform family consolidation,,,,,
identity platform for professionals,Platform,informational,IN+GLOBAL,none,business_identity_management_platform,business identity management platform,/business-identity,keep_secondary,business identity platform variation,,,,,
link in bio alternative India,Platform,informational,IN,comparison,linktree_alternative_for_creators,linktree alternative for creators,/linktree-alternative-for-creators,keep_secondary,creator comparison family,,,,,
digital business card,Business,transactional,IN+GLOBAL,none,digital_business_card,digital business card india,/digital-business-card-india,keep_secondary,digital business card family,,,,,
digital business card India,Business,transactional,IN,country,digital_business_card,digital business card india,/digital-business-card-india,keep_primary,digital business card family,,,,,
NFC business card,Business,transactional,IN+GLOBAL,feature,nfc_business_card,nfc business card india,/nfc-business-card-india,keep_secondary,nfc business card family,,,,,
NFC business card India,Business,transactional,IN,country,nfc_business_card,nfc business card india,/nfc-business-card-india,keep_primary,nfc business card family,,,,,
QR code business card,Business,transactional,IN+GLOBAL,feature,qr_business_card,qr business card,/qr-business-card,keep_secondary,qr business card family,,,,,
