keyword,cluster,pillar,intent,funnel_stage,target_market,target_language,volume,kd,cpc,business_score,priority,status,target_page_type,semrush_last_checked,notes
smart identity platform,brand_positioning,smart_identity,commercial,MOFU,IN+GLOBAL,en,,,,4,P2,mapped,homepage,,
digital business card india,digital_business_card,digital_business_cards,transactional,BOFU,IN,en,,,,5,P1,mapped,category,,
digital visiting card india,digital_business_card,digital_business_cards,transactional,BOFU,IN,en,,,,5,P1,mapped,category,,variation of digital business card india
virtual business card india,digital_business_card,digital_business_cards,transactional,BOFU,IN,en,,,,4,P2,mapped,category,,
smart business card india,digital_business_card,digital_business_cards,transactional,BOFU,IN,en,,,,4,P2,mapped,category,,
nfc business card india,nfc_business_card,digital_business_cards,transactional,BOFU,IN,en,,,,5,P1,mapped,category,,
nfc digital business card,nfc_business_card,digital_business_cards,transactional,BOFU,IN+GLOBAL,en,,,,4,P2,mapped,category,,
qr business card,qr_business_card,digital_business_cards,transactional,BOFU,IN+GLOBAL,en,,,,5,P1,mapped,category,,
qr code business card,qr_business_card,digital_business_cards,transactional,BOFU,IN+GLOBAL,en,,,,4,P2,mapped,category,,
digital business card for doctors,doctor_use_case,vertical_solutions,transactional,BOFU,IN,en,,,,5,P1,mapped,use_case,,
digital business card for real estate agents,real_estate_use_case,vertical_solutions,transactional,BOFU,IN,en,,,,5,P1,mapped,use_case,,
digital business card for freelancers,freelancer_use_case,vertical_solutions,transactional,BOFU,IN,en,,,,5,P1,mapped,use_case,,
digital business card for creators,creator_use_case,vertical_solutions,transactional,BOFU,IN+GLOBAL,en,,,,4,P2,mapped,use_case,,
hihello alternative india,hihello_comparison,competitor_capture,comparison,BOFU,IN,en,,,,5,P1,mapped,comparison,,
popl alternative india,popl_comparison,competitor_capture,comparison,BOFU,IN,en,,,,5,P1,mapped,comparison,,
taponn alternative,taponn_comparison,competitor_capture,comparison,BOFU,IN,en,,,,5,P1,mapped,comparison,,
blinq alternative,blinq_comparison,competitor_capture,comparison,BOFU,IN+GLOBAL,en,,,,4,P2,mapped,comparison,,
linktree alternative for professionals,linktree_comparison,competitor_capture,comparison,BOFU,IN+GLOBAL,en,,,,4,P2,mapped,comparison,,
nfc business card vs qr code,nfc_vs_qr,education,informational,MOFU,IN+GLOBAL,en,,,,3,P2,mapped,blog,,
paper business card vs digital business card,paper_vs_digital,education,informational,MOFU,IN+GLOBAL,en,,,,3,P2,mapped,blog,,
best digital business card for doctors in india,doctor_roundup,education,informational,MOFU,IN,en,,,,3,P2,mapped,blog,,
how to create a digital business card for your business,how_to_digital_card,education,informational,TOFU,IN+GLOBAL,en,,,,2,P3,mapped,blog,,
