keyword,page_slug,hub,priority,search_intent,market,keyword_role,volume,kd,cpc,last_checked,tag_string
ai tools for small business india,/business-ai,business,P1,commercial,IN,primary,,,,,hub:business;priority:P1;intent:commercial;role:primary
business identity management platform,/business-identity,business,P1,commercial,IN+GLOBAL,primary,,,,,hub:business;priority:P1;intent:commercial;role:primary
digital business card bangalore,/digital-business-card-bangalore,business,P1,transactional,IN,primary,,,,,hub:business;priority:P1;intent:transactional;role:primary
digital business card delhi,/digital-business-card-delhi,business,P1,transactional,IN,primary,,,,,hub:business;priority:P1;intent:transactional;role:primary
digital business card for ca india,/digital-business-card-for-ca,business,P1,transactional,IN,primary,,,,,hub:business;priority:P1;intent:transactional;role:primary
digital business card for doctors,/digital-business-card-for-doctors,business,P1,transactional,IN,primary,,,,,hub:business;priority:P1;intent:transactional;role:primary
digital business card for freelancers,/digital-business-card-for-freelancers,business,P1,transactional,IN,primary,,,,,hub:business;priority:P1;intent:transactional;role:primary
digital business card for lawyers india,/digital-business-card-for-lawyers,business,P1,transactional,IN,primary,,,,,hub:business;priority:P1;intent:transactional;role:primary
digital business card for real estate agents,/digital-business-card-for-real-estate-agents,business,P1,transactional,IN,primary,,,,,hub:business;priority:P1;intent:transactional;role:primary
digital business card for teams india,/digital-business-card-for-teams,business,P1,transactional,IN+GLOBAL,primary,,,,,hub:business;priority:P1;intent:transactional;role:primary
digital business card india,/digital-business-card-india,business,P1,transactional,IN,primary,,,,,hub:business;priority:P1;intent:transactional;role:primary
digital business card mumbai,/digital-business-card-mumbai,business,P1,transactional,IN,primary,,,,,hub:business;priority:P1;intent:transactional;role:primary
dot card alternative india,/dot-card-alternative-india,business,P1,comparison,IN+GLOBAL,primary,,,,,hub:business;priority:P1;intent:comparison;role:primary
google review card NFC,/products/review-cards,business,P1,transactional,IN,primary,,,,,hub:business;priority:P1;intent:transactional;role:primary
hihello alternative india,/hihello-alternative-india,business,P1,comparison,IN,primary,,,,,hub:business;priority:P1;intent:comparison;role:primary
how to share digital business card on whatsapp india,/blog/how-to-share-digital-business-card-on-whatsapp,business,P1,informational,IN,primary,,,,,hub:business;priority:P1;intent:informational;role:primary
metal business card india,/products/metal-business-cards,business,P1,transactional,IN,primary,,,,,hub:business;priority:P1;intent:transactional;role:primary
nfc business card india,/nfc-business-card-india,business,P1,transactional,IN,primary,,,,,hub:business;priority:P1;intent:transactional;role:primary
popl alternative india,/popl-alternative-india,business,P1,comparison,IN,primary,,,,,hub:business;priority:P1;intent:comparison;role:primary
profiletap vs dot card,/profiletap-vs-dot-card,business,P1,comparison,IN+GLOBAL,primary,,,,,hub:business;priority:P1;intent:comparison;role:primary
profiletap vs v1ce,/profiletap-vs-v1ce,business,P1,comparison,IN+GLOBAL,primary,,,,,hub:business;priority:P1;intent:comparison;role:primary
PVC business card NFC,/products/pvc-business-cards,business,P1,transactional,IN,primary,,,,,hub:business;priority:P1;intent:transactional;role:primary
qr business card,/qr-business-card,business,P1,transactional,IN+GLOBAL,primary,,,,,hub:business;priority:P1;intent:transactional;role:primary
tapmo alternative,/tapmo-alternative,business,P1,comparison,IN,primary,,,,,hub:business;priority:P1;intent:comparison;role:primary
taponn alternative,/taponn-alternative,business,P1,comparison,IN,primary,,,,,hub:business;priority:P1;intent:comparison;role:primary
v1ce alternative india,/v1ce-alternative-india,business,P1,comparison,IN,primary,,,,,hub:business;priority:P1;intent:comparison;role:primary
affordable NFC business card,/products/pvc-business-cards,business,P1,transactional,IN,secondary,,,,,hub:business;priority:P1;intent:transactional;role:secondary
ai business assistant india,/business-ai,business,P1,commercial,IN,secondary,,,,,hub:business;priority:P1;intent:commercial;role:secondary
ai business management,/business-ai,business,P1,commercial,IN,secondary,,,,,hub:business;priority:P1;intent:commercial;role:secondary
ai for small business,/business-ai,business,P1,commercial,IN,secondary,,,,,hub:business;priority:P1;intent:commercial;role:secondary
ai tools for business india,/business-ai,business,P1,commercial,IN,secondary,,,,,hub:business;priority:P1;intent:commercial;role:secondary
best dot card alternative india,/dot-card-alternative-india,business,P1,comparison,IN+GLOBAL,secondary,,,,,hub:business;priority:P1;intent:comparison;role:secondary
best v1ce alternative,/v1ce-alternative-india,business,P1,comparison,IN,secondary,,,,,hub:business;priority:P1;intent:comparison;role:secondary
black PVC card NFC,/products/pvc-business-cards,business,P1,transactional,IN,secondary,,,,,hub:business;priority:P1;intent:transactional;role:secondary
business ai tools,/business-ai,business,P1,commercial,IN,secondary,,,,,hub:business;priority:P1;intent:commercial;role:secondary
buy digital business card mumbai,/digital-business-card-mumbai,business,P1,transactional,IN,secondary,,,,,hub:business;priority:P1;intent:transactional;role:secondary
corporate digital business card india,/digital-business-card-for-teams,business,P1,transactional,IN+GLOBAL,secondary,,,,,hub:business;priority:P1;intent:transactional;role:secondary
digital business card,/digital-business-card-india,business,P1,transactional,IN,secondary,,,,,hub:business;priority:P1;intent:transactional;role:secondary
digital business card bengaluru,/digital-business-card-bangalore,business,P1,transactional,IN,secondary,,,,,hub:business;priority:P1;intent:transactional;role:secondary
digital business card bulk order india,/digital-business-card-for-teams,business,P1,transactional,IN+GLOBAL,secondary,,,,,hub:business;priority:P1;intent:transactional;role:secondary
digital business card new delhi,/digital-business-card-delhi,business,P1,transactional,IN,secondary,,,,,hub:business;priority:P1;intent:transactional;role:secondary
digital identity profile for professionals,/business-identity,business,P1,commercial,IN+GLOBAL,secondary,,,,,hub:business;priority:P1;intent:commercial;role:secondary
digital visiting card bangalore,/digital-business-card-bangalore,business,P1,transactional,IN,secondary,,,,,hub:business;priority:P1;intent:transactional;role:secondary
digital visiting card delhi,/digital-business-card-delhi,business,P1,transactional,IN,secondary,,,,,hub:business;priority:P1;intent:transactional;role:secondary
digital visiting card for ca,/digital-business-card-for-ca,business,P1,transactional,IN,secondary,,,,,hub:business;priority:P1;intent:transactional;role:secondary
digital visiting card for lawyers,/digital-business-card-for-lawyers,business,P1,transactional,IN,secondary,,,,,hub:business;priority:P1;intent:transactional;role:secondary
digital visiting card mumbai,/digital-business-card-mumbai,business,P1,transactional,IN,secondary,,,,,hub:business;priority:P1;intent:transactional;role:secondary
dot card alternative india,/profiletap-vs-dot-card,business,P1,comparison,IN+GLOBAL,secondary,,,,,hub:business;priority:P1;intent:comparison;role:secondary
dot card vs profiletap,/dot-card-alternative-india,business,P1,comparison,IN+GLOBAL,secondary,,,,,hub:business;priority:P1;intent:comparison;role:secondary
dot card vs profiletap india,/profiletap-vs-dot-card,business,P1,comparison,IN+GLOBAL,secondary,,,,,hub:business;priority:P1;intent:comparison;role:secondary
employee digital business card india,/digital-business-card-for-teams,business,P1,transactional,IN+GLOBAL,secondary,,,,,hub:business;priority:P1;intent:transactional;role:secondary
google review NFC card,/products/review-cards,business,P1,transactional,IN,secondary,,,,,hub:business;priority:P1;intent:transactional;role:secondary
HiHello alternative,/hihello-alternative-india,business,P1,comparison,IN,secondary,,,,,hub:business;priority:P1;intent:comparison;role:secondary
how to add digital business card to whatsapp,/blog/how-to-share-digital-business-card-on-whatsapp,business,P1,informational,IN,secondary,,,,,hub:business;priority:P1;intent:informational;role:secondary
identity management solution for business,/business-identity,business,P1,commercial,IN+GLOBAL,secondary,,,,,hub:business;priority:P1;intent:commercial;role:secondary
identity platform for businesses,/business-identity,business,P1,commercial,IN+GLOBAL,secondary,,,,,hub:business;priority:P1;intent:commercial;role:secondary
identity platform for professionals,/business-identity,business,P1,commercial,IN+GLOBAL,secondary,,,,,hub:business;priority:P1;intent:commercial;role:secondary
identity system for small businesses,/business-identity,business,P1,commercial,IN+GLOBAL,secondary,,,,,hub:business;priority:P1;intent:commercial;role:secondary
